date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:13:51	12795/12795	---M-Z	200	added ('OK')	text/css	etag:W/%2231fb-G+m3m+AqHPxdlsSl4P649HK6vZU%22	https://cdn.jsdelivr.net/gh/fancyapps/fancybox@3.5.7/dist/jquery.fancybox.min.css	D:/Drone/Drone/cdn.jsdelivr.net/gh/fancyapps/fancybox@3.5.7/dist/jquery.fancybox.min.css	(from https://html.rovadex.com/html-quadex/index.html)
12:13:52	85078/85078	---MCZ	200	added ('OK')	text/css	etag:W/%225e7e349e-14c56%22	https://html.rovadex.com/html-quadex/css/style.css	D:/Drone/Drone/html.rovadex.com/html-quadex/css/style.css	(from https://html.rovadex.com/html-quadex/index.html)
12:13:53	85578/85578	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-14e4a%22	https://code.jquery.com/jquery-2.2.4.min.js	D:/Drone/Drone/code.jquery.com/jquery-2.2.4.min.js	(from https://html.rovadex.com/html-quadex/index.html)
12:13:53	68/68	---MCZ	302	error ('Found')	text/plain	date:Sun,%2010%20Jul%202022%2006:44:32%20GMT	https://unpkg.com/masonry-layout@4/dist/masonry.pkgd.min.js	D:/Drone/Drone/unpkg.com/masonry-layout@4/dist/masonry.pkgd.min.24.delayed	(from https://html.rovadex.com/html-quadex/index.html)
12:13:53	24103/24103	---MCZ	200	added ('OK')	application/javascript	etag:%225e27-0gJSz3bDvorzeoQV0TrTaMditNg%22	https://unpkg.com/masonry-layout@4.2.2/dist/masonry.pkgd.min.js	D:/Drone/Drone/unpkg.com/masonry-layout@4.2.2/dist/masonry.pkgd.min.js	(from https://html.rovadex.com/html-quadex/index.html)
12:13:54	68253/68253	---M-Z	200	added ('OK')	application/javascript	etag:W/%2210a9d-YYFBLnOWZpbQjh5bEkOlctDyK6Y%22	https://cdn.jsdelivr.net/gh/fancyapps/fancybox@3.5.7/dist/jquery.fancybox.min.js	D:/Drone/Drone/cdn.jsdelivr.net/gh/fancyapps/fancybox@3.5.7/dist/jquery.fancybox.min.js	(from https://html.rovadex.com/html-quadex/index.html)
12:13:54	41565/41565	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e7e34dc-a25d%22	https://html.rovadex.com/html-quadex/js/slick.min.js	D:/Drone/Drone/html.rovadex.com/html-quadex/js/slick.min.js	(from https://html.rovadex.com/html-quadex/index.html)
12:13:54	1270/1270	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e7e34dc-4f6%22	https://html.rovadex.com/html-quadex/js/rx-lazy.js	D:/Drone/Drone/html.rovadex.com/html-quadex/js/rx-lazy.js	(from https://html.rovadex.com/html-quadex/index.html)
12:13:55	12788/12788	---MCZ	200	added ('OK')	application/javascript	etag:W/%22603bfcdd-31f4%22	https://html.rovadex.com/html-quadex/js/scripts.js	D:/Drone/Drone/html.rovadex.com/html-quadex/js/scripts.js	(from https://html.rovadex.com/html-quadex/index.html)
12:13:55	771/771	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e7e34af-303%22	https://html.rovadex.com/html-quadex/img/cancel.svg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/cancel.svg	(from https://html.rovadex.com/html-quadex/css/critical.css)
12:13:56	47116/47116	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34ad-b80c%22	https://html.rovadex.com/html-quadex/img/bg-page.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/bg-page.jpg	(from https://html.rovadex.com/html-quadex/about.html)
